source,year,date,shift,set_name,question_id,question_number,question_text,option_a,option_b,option_c,option_d,correct_option,answer_source,question_type,difficulty_estimate,unit,chapter,subtopic,canonical_question_id,source_tier,source_weight,year_weight,question_pattern,micro_concept,final_confidence,needs_review,source_url,raw_file_path,evidence_status,section_scope
aglasem_cuet_cs_2024.pdf,2024,2024-07-19,1,"Computer Science and Informatics Practices 19th July 2024
Shift 1",46419961,11,,,,,,,,MCQ,unknown,Section A Common Core,Unclassified - metadata only,Question text not machine-readable,cs_1af08de793653dce,structured_pyq_site,0.65,0.8,metadata-only MCQ,needs OCR/manual import,0.15,True,https://docs.aglasem.com/product/single-doc-download/3c7cf9ee-1277-11f1-8401-0a5e36bc6706?url=https%3A%2F%2Fdocs.aglasem.com%2Fview%2F3c7cf9ee-1277-11f1-8401-0a5e36bc6706,C:\Users\shrey\OneDrive\Documents\New project\data\cuet_cs\raw\public\aglasem_cuet_cs_2024.pdf,metadata_only_question_id,Section A Common Core
aglasem_cuet_cs_2024.pdf,2024,2024-07-19,1,"Computer Science and Informatics Practices 19th July 2024
Shift 1",46419962,12,,,,,,,,MCQ,unknown,Section A Common Core,Unclassified - metadata only,Question text not machine-readable,cs_c50f92a3f1db72f6,structured_pyq_site,0.65,0.8,metadata-only MCQ,needs OCR/manual import,0.15,True,https://docs.aglasem.com/product/single-doc-download/3c7cf9ee-1277-11f1-8401-0a5e36bc6706?url=https%3A%2F%2Fdocs.aglasem.com%2Fview%2F3c7cf9ee-1277-11f1-8401-0a5e36bc6706,C:\Users\shrey\OneDrive\Documents\New project\data\cuet_cs\raw\public\aglasem_cuet_cs_2024.pdf,metadata_only_question_id,Section A Common Core
aglasem_cuet_cs_2024.pdf,2024,2024-07-19,1,"Computer Science and Informatics Practices 19th July 2024
Shift 1",46419963,13,,,,,,,,MCQ,unknown,Section A Common Core,Unclassified - metadata only,Question text not machine-readable,cs_67b7554c274133f8,structured_pyq_site,0.65,0.8,metadata-only MCQ,needs OCR/manual import,0.15,True,https://docs.aglasem.com/product/single-doc-download/3c7cf9ee-1277-11f1-8401-0a5e36bc6706?url=https%3A%2F%2Fdocs.aglasem.com%2Fview%2F3c7cf9ee-1277-11f1-8401-0a5e36bc6706,C:\Users\shrey\OneDrive\Documents\New project\data\cuet_cs\raw\public\aglasem_cuet_cs_2024.pdf,metadata_only_question_id,Section A Common Core
aglasem_cuet_cs_2024.pdf,2024,2024-07-19,1,"Computer Science and Informatics Practices 19th July 2024
Shift 1",46419964,14,,,,,,,,MCQ,unknown,Section A Common Core,Unclassified - metadata only,Question text not machine-readable,cs_527bf5c9cf3a08e0,structured_pyq_site,0.65,0.8,metadata-only MCQ,needs OCR/manual import,0.15,True,https://docs.aglasem.com/product/single-doc-download/3c7cf9ee-1277-11f1-8401-0a5e36bc6706?url=https%3A%2F%2Fdocs.aglasem.com%2Fview%2F3c7cf9ee-1277-11f1-8401-0a5e36bc6706,C:\Users\shrey\OneDrive\Documents\New project\data\cuet_cs\raw\public\aglasem_cuet_cs_2024.pdf,metadata_only_question_id,Section A Common Core
aglasem_cuet_cs_2024.pdf,2024,2024-07-19,1,"Computer Science and Informatics Practices 19th July 2024
Shift 1",46419965,15,,,,,,,,MCQ,unknown,Section A Common Core,Unclassified - metadata only,Question text not machine-readable,cs_e3822d1e5fe997b1,structured_pyq_site,0.65,0.8,metadata-only MCQ,needs OCR/manual import,0.15,True,https://docs.aglasem.com/product/single-doc-download/3c7cf9ee-1277-11f1-8401-0a5e36bc6706?url=https%3A%2F%2Fdocs.aglasem.com%2Fview%2F3c7cf9ee-1277-11f1-8401-0a5e36bc6706,C:\Users\shrey\OneDrive\Documents\New project\data\cuet_cs\raw\public\aglasem_cuet_cs_2024.pdf,metadata_only_question_id,Section A Common Core
aglasem_cuet_cs_2024.pdf,2024,2024-07-19,1,"Computer Science and Informatics Practices 19th July 2024
Shift 1",46419966,16,,,,,,,,MCQ,unknown,Section B1 Computer Science,Unclassified - metadata only,Question text not machine-readable,cs_a1e23c42ebf9d26e,structured_pyq_site,0.65,0.8,metadata-only MCQ,needs OCR/manual import,0.15,True,https://docs.aglasem.com/product/single-doc-download/3c7cf9ee-1277-11f1-8401-0a5e36bc6706?url=https%3A%2F%2Fdocs.aglasem.com%2Fview%2F3c7cf9ee-1277-11f1-8401-0a5e36bc6706,C:\Users\shrey\OneDrive\Documents\New project\data\cuet_cs\raw\public\aglasem_cuet_cs_2024.pdf,metadata_only_question_id,Computer Science
aglasem_cuet_cs_2024.pdf,2024,2024-07-19,1,"Computer Science and Informatics Practices 19th July 2024
Shift 1",46419967,17,,,,,,,,MCQ,unknown,Section B1 Computer Science,Unclassified - metadata only,Question text not machine-readable,cs_146d7cda2a68386d,structured_pyq_site,0.65,0.8,metadata-only MCQ,needs OCR/manual import,0.15,True,https://docs.aglasem.com/product/single-doc-download/3c7cf9ee-1277-11f1-8401-0a5e36bc6706?url=https%3A%2F%2Fdocs.aglasem.com%2Fview%2F3c7cf9ee-1277-11f1-8401-0a5e36bc6706,C:\Users\shrey\OneDrive\Documents\New project\data\cuet_cs\raw\public\aglasem_cuet_cs_2024.pdf,metadata_only_question_id,Computer Science
aglasem_cuet_cs_2024.pdf,2024,2024-07-19,1,"Computer Science and Informatics Practices 19th July 2024
Shift 1",46419968,18,,,,,,,,MCQ,unknown,Section B1 Computer Science,Unclassified - metadata only,Question text not machine-readable,cs_6ca36e691705fa90,structured_pyq_site,0.65,0.8,metadata-only MCQ,needs OCR/manual import,0.15,True,https://docs.aglasem.com/product/single-doc-download/3c7cf9ee-1277-11f1-8401-0a5e36bc6706?url=https%3A%2F%2Fdocs.aglasem.com%2Fview%2F3c7cf9ee-1277-11f1-8401-0a5e36bc6706,C:\Users\shrey\OneDrive\Documents\New project\data\cuet_cs\raw\public\aglasem_cuet_cs_2024.pdf,metadata_only_question_id,Computer Science
aglasem_cuet_cs_2024.pdf,2024,2024-07-19,1,"Computer Science and Informatics Practices 19th July 2024
Shift 1",46419969,19,,,,,,,,MCQ,unknown,Section B1 Computer Science,Unclassified - metadata only,Question text not machine-readable,cs_bd031d97d62a0190,structured_pyq_site,0.65,0.8,metadata-only MCQ,needs OCR/manual import,0.15,True,https://docs.aglasem.com/product/single-doc-download/3c7cf9ee-1277-11f1-8401-0a5e36bc6706?url=https%3A%2F%2Fdocs.aglasem.com%2Fview%2F3c7cf9ee-1277-11f1-8401-0a5e36bc6706,C:\Users\shrey\OneDrive\Documents\New project\data\cuet_cs\raw\public\aglasem_cuet_cs_2024.pdf,metadata_only_question_id,Computer Science
aglasem_cuet_cs_2024.pdf,2024,2024-07-19,1,"Computer Science and Informatics Practices 19th July 2024
Shift 1",46419970,20,,,,,,,,MCQ,unknown,Section B1 Computer Science,Unclassified - metadata only,Question text not machine-readable,cs_3254d1e2ee01d885,structured_pyq_site,0.65,0.8,metadata-only MCQ,needs OCR/manual import,0.15,True,https://docs.aglasem.com/product/single-doc-download/3c7cf9ee-1277-11f1-8401-0a5e36bc6706?url=https%3A%2F%2Fdocs.aglasem.com%2Fview%2F3c7cf9ee-1277-11f1-8401-0a5e36bc6706,C:\Users\shrey\OneDrive\Documents\New project\data\cuet_cs\raw\public\aglasem_cuet_cs_2024.pdf,metadata_only_question_id,Computer Science
