chapter,subtopic,question_count,source_weighted_frequency,recency_score,cross_year_consistency,cross_shift_consistency,question_type_diversity,ncert_directness,student_confusion_score,raw_score,study_priority_score,difficulty,study_hours_required,expected_marks_contribution,roi,top_pattern,top_micro_concept,recommended_action,percentile_rank,priority_tier
Marketing,promotion,26,16.9,14.3,1.0,0.5,1.0,1.0,0.0,0.9,90.0,easy,1.75,90.0,51.43,definition-based,promotion mix,Study deeply and solve all available PYQs,0.8636,Tier 1 = Must do
Nature and Significance of Management,functions of management,68,44.2,37.667,1.0,0.5,1.0,1.0,0.0,0.9,90.0,easy,1.75,90.0,51.43,definition-based,management,Study deeply and solve all available PYQs,0.8636,Tier 1 = Must do
Principles of Management,techniques of scientific management,25,16.25,12.415,1.0,0.5,1.0,1.0,0.0,0.9,90.0,easy,1.75,90.0,51.43,definition-based,scientific management,Study deeply and solve all available PYQs,0.8636,Tier 1 = Must do
Directing,communication,58,37.7,32.565,0.75,0.75,1.0,1.0,0.0,0.8875,88.75,easy,1.75,88.75,50.71,definition-based,communication,Study deeply and solve all available PYQs,0.8,Tier 2 = High ROI
Directing,motivation,22,14.3,11.635,0.75,0.75,1.0,1.0,0.0,0.8875,88.75,easy,1.75,88.75,50.71,definition-based,motivation,Study deeply and solve all available PYQs,0.8,Tier 2 = High ROI
Marketing,product,70,45.5,38.805,0.75,0.75,1.0,1.0,0.0,0.8875,88.75,easy,1.75,88.75,50.71,definition-based,product mix,Study deeply and solve all available PYQs,0.8,Tier 2 = High ROI
Marketing,marketing meaning,26,16.9,12.902,0.75,0.625,1.0,1.0,0.0,0.875,87.5,easy,1.75,87.5,50.0,definition-based,marketing,Study deeply and solve all available PYQs,0.7455,Tier 2 = High ROI
Staffing,recruitment,39,25.35,18.135,0.75,0.625,1.0,1.0,0.0,0.875,87.5,easy,1.75,87.5,50.0,definition-based,recruitment,Study deeply and solve all available PYQs,0.7455,Tier 2 = High ROI
Business Finance,financial planning,28,18.2,16.283,0.75,0.5,1.0,1.0,0.0,0.8625,86.25,easy,1.75,86.25,49.29,definition-based,financial planning,Study deeply and solve all available PYQs,0.7273,Tier 2 = High ROI
Business Finance,working capital,31,20.15,15.6,0.75,0.375,1.0,1.0,0.0,0.85,85.0,easy,1.75,85.0,48.57,definition-based,working capital,Study deeply and solve all available PYQs,0.7182,Tier 2 = High ROI
Directing,leadership,20,13.0,10.693,0.75,0.375,1.0,1.0,0.0,0.85,85.0,easy,1.75,85.0,48.57,definition-based,leadership style,Study deeply and solve all available PYQs,0.7182,Tier 2 = High ROI
Planning,types of plans,38,24.7,23.66,0.5,0.75,1.0,1.0,0.0,0.85,85.0,easy,1.75,85.0,48.57,definition-based,types of plans,Study deeply and solve all available PYQs,0.7182,Tier 2 = High ROI
